,D1,D2,D3,D4,D5,D6,D7,D8
R1,2.20%,1.74%,1.99%,2.93%,3.14%,2.10%,2.39%,3.62%
R2,2.84%,2.90%,3.23%,3.33%,3.62%,2.23%,2.91%,2.20%
R3,1.89%,1.69%,2.79%,1.62%,2.17%,2.18%,1.68%,2.15%
R4,3.16%,2.75%,2.07%,1.36%,1.23%,2.72%,1.92%,3.66%
R5,3.41%,3.50%,3.42%,2.83%,3.09%,3.72%,1.87%,2.81%
C1,6.98%,5.93%,8.45%,8.19%,7.83%,7.75%,8.70%,6.41%
C2,7.86%,8.57%,9.85%,7.49%,7.25%,10.15%,8.52%,8.89%
C3,5.34%,5.99%,7.78%,5.36%,6.86%,6.95%,7.83%,6.93%
