,D1,D2,D3,D4,D5,D6,D7,D8
R1,1.83,1.53,0.53,1.77,2.77,1.53,2.99,4.02
R2,1.47,3.02,1.39,1.67,1.62,0.98,1.65,0.72
R3,3.21,2.15,1.1,0.4,1.31,2.62,1.01,2.64
R4,1.33,0.83,2.34,1.11,0.58,2.14,0.48,3.92
R5,1.79,4.04,3.71,3.2,3.13,3.35,2.69,4.12
C1,6.99,5.16,8.44,6.31,4.89,4.58,7.71,5.01
C2,6.37,4.84,4.71,5.41,12.43,5.75,12.56,9.41
C3,3.6,4.91,3.32,2.81,4.73,5.72,4.78,3.61
