,D1,D2,D3,D4,D5,D6,D7,D8
R1,1.90%,3.91%,3.16%,3.74%,3.25%,4.62%,4.19%,3.84%
R2,4.86%,4.42%,3.59%,2.26%,4.18%,4.27%,4.05%,3.95%
R3,3.62%,2.81%,4.16%,1.80%,2.02%,4.49%,2.03%,3.75%
R4,3.81%,2.15%,4.46%,2.80%,1.97%,2.72%,2.92%,4.49%
R5,4.18%,3.50%,4.78%,2.93%,3.05%,4.68%,3.58%,3.55%
C1,12.06%,11.72%,9.08%,8.22%,12.70%,8.98%,12.28%,10.96%
C2,11.53%,13.50%,13.08%,12.83%,10.60%,14.04%,9.15%,8.26%
C3,10.34%,8.37%,8.31%,7.00%,10.81%,7.39%,8.79%,8.61%
