,D1,D2,D3,D4,D5,D6,D7,D8
R1,1.88%,2.37%,2.10%,1.28%,2.13%,1.75%,1.72%,2.83%
R2,2.09%,2.78%,1.28%,1.89%,2.84%,2.13%,2.29%,2.02%
R3,2.37%,2.33%,2.22%,1.91%,1.19%,1.30%,1.40%,1.44%
R4,2.32%,2.25%,2.23%,1.70%,2.22%,1.66%,1.46%,1.80%
R5,1.90%,2.74%,2.40%,2.27%,2.78%,2.73%,1.82%,2.71%
C1,6.63%,4.96%,5.79%,4.76%,5.03%,7.22%,6.34%,3.87%
C2,5.45%,5.70%,6.80%,6.53%,5.84%,7.73%,7.67%,5.46%
C3,5.71%,4.68%,5.76%,4.70%,4.19%,4.42%,5.40%,5.82%
