,D1,D2,D3,D4,D5,D6,D7,D8
R1,2.52,1.65,2.46,2.68,1.99,3.19,2.18,3.88
R2,2.2,3.74,3.02,2.5,4,2.88,3.52,1.75
R3,2.93,3.2,2.93,1.67,1.76,3,1.95,2.37
R4,2.53,2.41,2.17,2.62,1.82,1.93,1.92,3.12
R5,3.42,4.01,3.59,3.67,2.61,3.76,2.95,3.23
C1,6.38,5.52,5.73,6.42,5.69,6.56,5.78,4.21
C2,5.78,5.54,7.69,5.24,6.76,8.12,7.66,5.83
C3,4.25,3.77,4.1,5.82,4.65,4.52,4.09,3.53
