,D1,D2,D3,D4,D5,D6,D7,D8
R1,2.75,2.4,2.15,1.53,2.51,1.97,3.11,2.87
R2,2.96,2.78,1.92,1.94,2.97,1.68,3.29,2.54
R3,1.93,2.16,2.67,1,1.41,2.37,2.14,1.96
R4,1.6,2.61,3.02,1.95,2.26,2.04,1.83,3.47
R5,3.74,3.49,3.1,3.81,2.57,2.9,2.35,3.33
C1,4.76,6.29,5.3,5.02,6.48,6.54,6.71,6.27
C2,5.45,5.9,7.38,6.18,7.18,7.89,6.45,6.36
C3,5.96,4.59,6.08,3.32,4.9,6.26,6.29,5.68
