,D1,D2,D3,D4,D5,D6,D7,D8
R1,1.09,0.64,0.85,1.28,2.2,3.39,2.69,3.56
R2,3.74,3.5,2.43,2.52,3.43,1.07,4.81,0.79
R3,2.41,2.21,2.11,0.64,1.06,1.03,1.01,2.43
R4,0.84,1.3,1.88,0.9,0.42,1.97,0.31,3.13
R5,4.81,2.99,4.83,3.48,2.28,3.87,2.79,2.12
C1,3.11,5.15,7.42,7.5,10.29,8.01,4.94,3.89
C2,6.78,6.61,12.03,7.86,11.08,14.49,10.24,8.57
C3,6.01,6.23,6.82,3.13,8.24,8.68,5.84,5.6
