,D1,D2,D3,D4,D5,D6,D7,D8
R1,1.76,2.2,1.36,3.41,2.16,2.5,3.17,3.9
R2,3.8,3.2,2.04,3.73,3.77,3.46,6.87,0.97
R3,1.96,2.34,2.66,1.13,1.19,1.44,2.47,2.2
R4,3.14,2.19,1.47,1.38,0.78,1.75,0.84,3.44
R5,6.1,4.81,3.85,2.65,1.98,4.02,3.36,5.88
C1,6.52,9.7,8.48,5.96,7.15,15.53,10.87,9.41
C2,13.55,15.54,20.11,10.6,19.77,21.69,15.88,6.71
C3,8.92,5.94,7.26,6.74,9.06,9.42,7.34,6.58
